model_id,family,data_mode,candidate_rank,source_optimizer,source_trial,seed,valid_relative_l2_horizon_time,valid_relative_l2_mean,finite_relative_l2_fraction
perc_latent8,perc,latent8,1,forest,47,9403108,7.4,0.8058022533780108,0.0541414141414141
perc_latent8,perc,latent8,1,forest,47,9403109,6.9,0.8585863407529208,0.0553535353535353
perc_latent8,perc,latent8,1,forest,47,9403110,7.1000000000000005,1.0926281911369502,0.0698989898989899
perc_latent8,perc,latent8,1,forest,47,9403111,7.2,0.9926473075090166,0.0648484848484848
perc_latent8,perc,latent8,1,forest,47,9403112,14.5,0.8082779691247767,0.0535353535353535
perc_latent8,perc,latent8,1,forest,47,9403113,6.2,0.9729686806536544,0.0589898989898989
perc_latent8,perc,latent8,1,forest,47,9403114,14.2,1.192326043138287,1.0
perc_latent8,perc,latent8,1,forest,47,9403115,15.2,1.1457778180784066,0.1197979797979797
perc_latent8,perc,latent8,2,gp,68,9403101,11.5,1.1953874434061047,0.1167676767676767
perc_latent8,perc,latent8,2,gp,68,9403102,18.0,0.9274547727828732,0.1387878787878788
perc_latent8,perc,latent8,2,gp,68,9403103,17.8,0.792092631946388,0.0907070707070707
perc_latent8,perc,latent8,2,gp,68,9403104,18.0,0.86530785848708,0.08
perc_latent8,perc,latent8,2,gp,68,9403105,21.9,0.7617011170946968,0.1042424242424242
perc_latent8,perc,latent8,2,gp,68,9403106,16.1,0.9728258804997382,0.0864646464646464
perc_latent8,perc,latent8,2,gp,68,9403107,7.7,0.9056641727203124,0.1147474747474747
perc_latent8,perc,latent8,2,gp,68,9403108,19.9,1.1149017843120863,1.0
perc_latent8,perc,latent8,2,gp,68,9403109,12.9,1.0127978699936515,0.0888888888888888
perc_latent8,perc,latent8,2,gp,68,9403110,9.8,1.2576194812213215,0.2539393939393939
perc_latent8,perc,latent8,2,gp,68,9403111,11.0,0.8566556000208295,0.0894949494949494
perc_latent8,perc,latent8,2,gp,68,9403112,9.9,1.0563899602696123,0.1286868686868686
perc_latent8,perc,latent8,2,gp,68,9403113,14.4,1.230921816974693,0.5941414141414142
perc_latent8,perc,latent8,2,gp,68,9403114,18.0,1.1749365307614057,0.3844444444444444
perc_latent8,perc,latent8,2,gp,68,9403115,15.8,0.8726678724339193,0.0945454545454545
perc_latent8,perc,latent8,3,forest,99,9403101,6.6000000000000005,1.3889158337656011,0.2652525252525252
perc_latent8,perc,latent8,3,forest,99,9403102,6.7,1.1873053807390863,0.1353535353535353
perc_latent8,perc,latent8,3,forest,99,9403103,8.1,0.8513269796669586,0.0557575757575757
perc_latent8,perc,latent8,3,forest,99,9403104,19.200000000000003,0.8332772212940521,0.0731313131313131
perc_latent8,perc,latent8,3,forest,99,9403105,5.4,1.073354844475017,0.0721212121212121
perc_latent8,perc,latent8,3,forest,99,9403106,8.1,0.5481763531131564,0.0523232323232323
perc_latent8,perc,latent8,3,forest,99,9403107,15.7,0.8236467891343898,0.0553535353535353
perc_latent8,perc,latent8,3,forest,99,9403108,7.4,0.8324470298137614,0.0559595959595959
perc_latent8,perc,latent8,3,forest,99,9403109,16.5,0.8288163232078471,0.0555555555555555
perc_latent8,perc,latent8,3,forest,99,9403110,17.6,1.2506916893920097,0.163030303030303
perc_latent8,perc,latent8,3,forest,99,9403111,6.2,1.2957114854686278,0.1286868686868686
perc_latent8,perc,latent8,3,forest,99,9403112,17.7,0.8957569765017162,0.0684848484848484
perc_latent8,perc,latent8,3,forest,99,9403113,6.7,0.9920574023833656,0.0664646464646464
perc_latent8,perc,latent8,3,forest,99,9403114,17.5,1.0133893261920346,0.0951515151515151
perc_latent8,perc,latent8,3,forest,99,9403115,15.8,0.8548679764682768,0.0587878787878787
perc_latent8,perc,latent8,4,forest,87,9403101,14.4,1.202516514298385,0.1193939393939394
perc_latent8,perc,latent8,4,forest,87,9403102,7.4,1.38946933006288,0.7393939393939394
perc_latent8,perc,latent8,4,forest,87,9403103,16.900000000000002,1.4018264532646614,0.1638383838383838
perc_latent8,perc,latent8,4,forest,87,9403104,18.5,0.6790149063819743,0.0656565656565656
perc_latent8,perc,latent8,4,forest,87,9403105,6.5,1.3965202084772583,0.5478787878787879
perc_latent8,perc,latent8,4,forest,87,9403106,17.400000000000002,1.388043741564203,0.3161616161616161
perc_latent8,perc,latent8,4,forest,87,9403107,22.8,0.5032885494171491,0.0682828282828282
perc_latent8,perc,latent8,4,forest,87,9403108,8.8,1.2237253770552374,0.1127272727272727
perc_latent8,perc,latent8,4,forest,87,9403109,7.4,1.0615510457171002,0.0789898989898989
perc_latent8,perc,latent8,4,forest,87,9403110,7.0,0.7512332412598239,0.061010101010101
perc_latent8,perc,latent8,4,forest,87,9403111,6.4,1.3787267164850876,0.2505050505050505
perc_latent8,perc,latent8,4,forest,87,9403112,7.5,1.2777158799281572,0.1654545454545454
perc_latent8,perc,latent8,4,forest,87,9403113,7.4,1.056799509339178,0.0686868686868686
perc_latent8,perc,latent8,4,forest,87,9403114,15.8,1.3338969863526409,0.1511111111111111
perc_latent8,perc,latent8,4,forest,87,9403115,14.7,0.9715748199442245,0.062020202020202
perc_latent8,perc,latent8,5,forest,69,9403101,6.5,1.1834073828011662,0.1296969696969697
perc_latent8,perc,latent8,5,forest,69,9403102,8.200000000000001,1.2348090076174292,0.1208080808080808
perc_latent8,perc,latent8,5,forest,69,9403103,15.2,1.1897266166259113,0.0991919191919191
perc_latent8,perc,latent8,5,forest,69,9403104,21.4,0.5306672326139616,0.0626262626262626
perc_latent8,perc,latent8,5,forest,69,9403105,5.9,0.9110655566680697,0.0751515151515151
perc_latent8,perc,latent8,5,forest,69,9403106,18.7,0.6007281671025563,0.0555555555555555
perc_latent8,perc,latent8,5,forest,69,9403107,17.2,1.221508705274624,0.1537373737373737
perc_latent8,perc,latent8,5,forest,69,9403108,9.8,0.6240272774994431,0.0614141414141414
perc_latent8,perc,latent8,5,forest,69,9403109,18.7,0.524045281239078,0.0533333333333333
perc_latent8,perc,latent8,5,forest,69,9403110,18.6,0.4981821943465547,0.0494949494949494
perc_latent8,perc,latent8,5,forest,69,9403111,6.7,1.2236969265093616,0.4442424242424242
